100,8
mid1,hw1,mid2,hw2,mid3,hw3,final,lab
47.43,49.13,62.07,63.12,86.71,72.44,92.06,89.47
66.42,68.59,55.13,54.98,37.85,53.60,71.66,88.73
40.49,38.93,34.02,29.78,58.97,65.11,36.39,91.33
90.62,99.53,72.20,72.55,78.24,88.33,100.00,91.37
33.61,36.04,78.12,75.94,78.30,98.05,74.19,94.24
62.62,59.45,66.84,67.27,14.49,10.53,56.15,92.38
81.52,75.42,80.64,73.19,83.00,65.69,57.84,89.34
69.11,67.38,69.59,72.79,28.15,48.35,19.49,90.02
86.39,90.17,50.39,52.91,45.57,48.60,42.25,90.83
46.88,55.11,67.81,66.19,53.45,49.47,29.84,92.37
18.12,33.50,65.74,68.03,9.12,0.22,45.90,85.33
64.92,67.60,53.74,53.52,61.00,91.76,45.03,90.12
47.41,52.06,42.37,41.78,27.58,11.76,38.22,89.38
60.63,53.80,60.66,62.15,65.16,80.80,15.80,88.91
68.20,57.91,62.40,59.85,86.98,93.20,54.49,86.09
54.07,54.23,56.75,54.88,46.74,62.26,36.88,88.32
52.64,63.51,56.40,51.85,21.79,18.96,58.27,92.41
44.87,50.44,70.18,69.75,8.89,37.97,52.61,90.18
44.38,52.74,53.42,51.88,0.00,0.00,44.69,90.96
41.54,46.99,27.02,27.73,42.48,30.04,48.26,88.43
80.50,94.57,51.19,47.95,100.00,100.00,63.24,89.33
58.42,65.10,69.39,70.37,49.47,69.80,13.15,94.61
49.06,46.63,65.72,65.45,77.06,93.39,10.30,88.69
78.33,73.48,57.28,61.35,81.50,69.30,49.82,87.98
49.25,38.67,75.49,78.71,54.05,30.93,69.39,92.86
62.05,67.05,66.75,69.86,64.72,90.34,44.24,90.44
59.87,68.23,54.27,53.89,96.66,88.84,42.50,90.32
53.23,59.95,55.09,58.65,12.54,4.52,94.30,96.27
30.25,34.73,96.41,94.03,61.81,43.49,12.19,95.30
66.80,61.67,76.66,79.01,100.00,100.00,67.29,95.78
94.05,79.76,66.63,64.31,90.63,98.72,31.53,95.20
41.10,54.83,78.76,80.09,85.93,91.38,77.42,96.50
81.06,84.07,51.06,50.35,37.95,66.80,25.14,91.21
